,root,strategy,strategy_signal
1419,171.8907589093179,233.9794599781037,233.9794599781037
1420,169.10721072552957,230.19046570640222,230.19046570640222
1421,162.07811045007531,220.6223824829732,220.6223824829732
1422,165.76309498908313,225.63842114575888,225.63842114575888
1423,162.0525897177777,220.58764340101712,220.58764340101712
1424,164.91542200996884,224.48456001238736,224.48456001238736
1425,154.24757594847085,209.96337878986654,209.96337878986654
1426,157.8333006979121,214.84430401137305,214.84430401137305
1427,164.83991708448892,224.38178193518542,224.38178193518542
1428,166.44692464189535,226.56925706676623,226.56925706676623
1429,164.14013837993673,223.4292360017436,223.4292360017436
1430,164.7862774316342,224.3087670908273,224.3087670908273
1431,162.62095183521424,221.3613037312968,221.3613037312968
1432,154.32958196838356,210.0750062233358,210.0750062233358
1433,141.66739584258923,192.83910889729873,192.83910889729873
1434,142.15154741674138,193.49814097433685,193.49814097433685
1435,145.64647054791965,198.25546610389475,198.25546610389475
1436,145.98468492438045,198.71584697406632,198.71584697406632
1437,145.4223739986478,197.95042358785554,197.95042358785554
1438,137.26603118833233,186.8479262909491,186.8479262909491
1439,136.03130689153366,185.16720694326614,185.16720694326614
1440,142.1332926135157,193.47329234938542,193.47329234938542
1441,144.25201953478845,196.3573251154633,196.3573251154633
1442,134.57484803478994,183.18466024358577,183.18466024358577
1443,134.21536450681975,182.6953275867333,182.6953275867333
1444,140.79212133105608,191.64767627555338,191.64767627555338
1445,137.2467528563984,186.82168442824624,186.82168442824624
1446,133.03341380012267,181.08644418992648,181.08644418992648
1447,134.8953137485951,183.62088145252923,183.62088145252923
1448,134.48712825022002,183.06525517519646,183.06525517519646
1449,134.98601413874408,183.74434375173323,183.74434375173323
1450,140.90698149774775,191.80402510981324,191.80402510981324
1451,140.01984080173952,190.59644011633424,190.59644011633424
1452,146.22785734935826,199.0468557673191,199.0468557673191
1453,146.33628390702643,199.1944471071413,199.1944471071413
1454,145.20660064986086,197.65671069748734,197.65671069748734
1455,146.29977430057508,199.14474985723845,199.14474985723845
1456,145.8128783197766,198.4819820657899,198.4819820657899
1457,137.0262780240943,186.5215718304044,186.5215718304044
1458,133.73185404405635,182.03716819707793,182.03716819707793
1459,135.8436299681674,184.91173919469003,184.91173919469003
1460,133.33373511924074,181.49524464268507,181.49524464268507
1461,137.30833329241847,186.90550834790665,186.90550834790665
1462,136.32475594646758,185.56665279969366,185.56665279969366
1463,133.77045569819714,182.0897131637034,182.0897131637034
1464,132.1564409057879,179.89269971213199,179.89269971213199
1465,125.45160802219809,170.76601258072313,170.76601258072313
1466,124.2766083126627,169.16659095238208,169.16659095238208
1467,119.66088750321491,162.8836245540893,162.8836245540893
1468,120.16777041274541,163.5735987574532,163.5735987574532
1469,120.67932106308838,164.26992673737584,164.26992673737584
1470,120.41919855279876,163.91584531454717,163.91584531454717
1471,123.05265918622153,167.5005388768516,167.5005388768516
1472,126.54605264812152,172.25578180493486,172.25578180493486
1473,122.63720775877451,166.93502214251416,166.93502214251416
1474,121.17411283677932,168.92660192212142,168.92660192212142
1475,120.95566272991532,168.62206464614593,168.62206464614593
1476,121.1336041362221,168.87012948776058,168.87012948776058
1477,123.55922785615736,172.25164690066126,172.25164690066126
1478,123.19343288037238,171.74169885307145,171.74169885307145
1479,125.02874686826532,174.30027632623606,174.30027632623606
1480,128.2152720703968,178.74255250002858,178.74255250002858
1481,141.52551180866107,197.2981129008084,197.2981129008084
1482,147.06531351208142,205.02104856068587,205.02104856068587
1483,141.8319807232163,197.72535557763587,197.72535557763587
1484,140.35597153852336,195.66767832183555,195.66767832183555
1485,139.2084594280716,194.0679527951118,194.0679527951118
1486,139.5922595003535,194.60300141655603,194.60300141655603
1487,138.50849014821378,193.09213849675973,193.09213849675973
1488,136.09884379960525,189.73289484335012,189.73289484335012
1489,134.8242875402278,187.95605940536169,187.95605940536169
1490,135.60406488654493,189.04313266123634,189.04313266123634
1491,133.58159316487743,186.22364203385231,186.22364203385231
1492,132.67857287376012,184.96475805546785,184.96475805546785
1493,138.80952095245527,193.5118000040232,193.5118000040232
1494,138.05216980244666,192.455990695932,192.455990695932
1495,121.90309395803754,169.94286109494823,169.94286109494823
1496,122.07848659793694,170.18737274819438,170.18737274819438
1497,119.21729490276972,166.19863803252588,166.19863803252588
1498,115.20374070697777,160.60341595040785,160.60341595040785
1499,114.47278992959512,159.5844109162063,159.5844109162063
1500,113.9010504236798,158.78735938714743,158.78735938714743
1501,115.88855076727573,161.55809705959857,161.55809705959857
1502,118.96678043711042,165.84940042372102,165.84940042372102
1503,119.42535852498793,166.48869570129764,166.48869570129764
1504,119.55809528208097,166.67374157290303,166.67374157290303
1505,118.45480278185742,165.13566179145687,165.13566179145687
1506,112.92442074692094,157.4258579181546,157.4258579181546
1507,114.47823279558997,159.5919987155778,159.5919987155778
1508,123.39405288648717,172.02137951354555,172.02137951354555
1509,124.93742218934527,174.17296227110958,174.17296227110958
1510,124.65284868925855,173.77624358886524,173.77624358886524
1511,129.9058119418927,181.09930304038798,181.09930304038798
1512,134.48969553184645,187.4896108407058,187.4896108407058
1513,130.09774304963003,181.36687066745108,181.36687066745108
1514,133.45996513275315,186.0540826314005,186.0540826314005
1515,129.75266078817435,180.885797833934,180.885797833934
1516,126.76848715514602,176.7256162607287,176.7256162607287
1517,127.12108065183945,177.21716036913486,177.21716036913486
1518,131.6570585294812,183.5406836970594,183.5406836970594
1519,112.51256349337639,156.85169529637434,156.85169529637434
1520,109.48726666545095,152.63418463355148,152.63418463355148
1521,110.54998322023962,154.1156982357897,154.1156982357897
1522,114.2555978104802,159.2816273778133,159.2816273778133
1523,123.17545810659401,171.71664055156108,171.71664055156108
1524,122.3477953172281,170.5628110803002,170.5628110803002
1525,125.39278656296277,174.8077773687469,174.8077773687469
1526,126.56102650115317,176.43639917886932,176.43639917886932
1527,124.31580098631598,173.30637158558974,173.30637158558974
1528,113.89982791109719,158.78565510484194,158.78565510484194
1529,120.8056831429962,168.41298086263131,168.41298086263131
1530,122.7737671393463,171.15665056251643,171.15665056251643
1531,122.42869313743665,170.67558924348054,170.67558924348054
